Chemical compound	Metabolic activity	Microbial species or host cell type
Chondroitin 4-sulfate (Chondroitin 6-sulfate)	Macromolecule degradation	Bacteroides thetaiotaomicron
cis-Aconitate (trans-Aconitate, trans-Aconitic acid)	Consumption (import)	Acidaminococcus fermentans
cis-Aconitate (trans-Aconitate, trans-Aconitic acid)	Consumption (import)	Acidovorax avenae
cis-Aconitate (trans-Aconitate, trans-Aconitic acid)	Consumption (import)	Acidovorax delafieldii
cis-Aconitate (trans-Aconitate, trans-Aconitic acid)	Consumption (import)	Methylobacterium nodulans
Citrate	Consumption (import)	Achromobacter piechaudii
Citrate	Consumption (import)	Acidaminococcus fermentans
Citrate	Consumption (import)	Acidovorax avenae
Citrate	Consumption (import)	Acidovorax delafieldii
Citrate	Consumption (import)	Aeromonas hydrophila
Citrate	Consumption (import)	Aeromonas salmonicida
Citrate	Consumption (import)	Colonocyte (host colon)
Citrate	Consumption (import)	Klebsiella pneumoniae
Citrate	Consumption (import)	Lactobacillus plantarum
Cl- (Chloride)	Consumption (import)	Colonocyte (host colon)
CO2	Production (export)	Acetivibrio cellulolyticus
CO2	Consumption (import)	Acetohalobium arabaticum
CO2	Production (export)	Acidaminococcus fermentans
CO2	Consumption (import)	Acidimicrobium ferrooxidans
CO2	Consumption (import)	Acidithiobacillus ferrooxidans
CO2	Production (export)	Agrobacterium tumefaciens (Rhizobium radiobacter)
CO2	Production (export)	Anaerostipes caccae
CO2	Production (export)	Azotobacter vinelandii
CO2	Production (export)	Bacillus amyloliquefaciens
CO2	Production (export)	Bacillus anthracis
CO2	Production (export)	Bacillus atrophaeus
CO2	Production (export)	Bacillus cellulosilyticus
CO2	Production (export)	Bacillus cereus
CO2	Production (export)	Bacillus clausii
CO2	Production (export)	Bacillus coagulans
CO2	Production (export)	Bacillus coahuilensis
CO2	Production (export)	Bacillus halodurans
CO2	Production (export)	Bacillus licheniformis
CO2	Production (export)	Bacillus megaterium
CO2	Production (export)	Bacillus mycoides
CO2	Production (export)	Bacillus pseudofirmus
CO2	Production (export)	Bacillus pseudomycoides
CO2	Production (export)	Bacillus pumilus
CO2	Production (export)	Bacillus selenitireducens
CO2	Production (export)	Bacillus subtilis
CO2	Production (export)	Bacillus thuringiensis
CO2	Production (export)	Bacillus weihenstephanensis
CO2	Consumption (import) & production (export)	Bacteroides caccae
CO2	Consumption (import) & production (export)	Bacteroides cellulosilyticus
CO2	Consumption (import) & production (export)	Bacteroides coprocola
CO2	Consumption (import) & production (export)	Bacteroides coprophilus
CO2	Consumption (import) & production (export)	Bacteroides dorei
CO2	Consumption (import) & production (export)	Bacteroides eggerthii
CO2	Consumption (import) & production (export)	Bacteroides finegoldii (Alistipes finegoldii)
CO2	Consumption (import) & production (export)	Bacteroides fragilis
CO2	Consumption (import) & production (export)	Bacteroides helcogenes
CO2	Consumption (import) & production (export)	Bacteroides intestinalis
CO2	Consumption (import) & production (export)	Bacteroides ovatus
CO2	Consumption (import) & production (export)	Bacteroides pectinophilus
CO2	Consumption (import) & production (export)	Bacteroides plebeius
CO2	Consumption (import) & production (export)	Bacteroides salanitronis
CO2	Consumption (import) & production (export)	Bacteroides stercoris
CO2	Consumption (import) & production (export)	Bacteroides thetaiotaomicron
CO2	Consumption (import) & production (export)	Bacteroides uniformis
CO2	Consumption (import) & production (export)	Bacteroides vulgatus
CO2	Consumption (import) & production (export)	Bacteroides xylanisolvens
CO2	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
CO2	Production (export)	Butyrivibrio crossotus
CO2	Production (export)	Butyrivibrio fibrisolvens
CO2	Production (export)	Butyrivibrio proteoclasticus
CO2	Consumption (import)	Caminibacter mediatlanticus
CO2	Consumption (import)	Chloroflexus aurantiacus
CO2	Production (export)	Clostridium acetobutylicum
CO2	Production (export)	Clostridium asparagiforme
CO2	Production (export)	Clostridium bartlettii
CO2	Production (export)	Clostridium beijerinckii
CO2	Production (export)	Clostridium bolteae
CO2	Production (export)	Clostridium botulinum
CO2	Production (export)	Clostridium butyricum
CO2	Production (export)	Clostridium carboxidivorans
CO2	Production (export)	Clostridium cellulolyticum
CO2	Production (export)	Clostridium cellulovorans
CO2	Production (export)	Clostridium cf
CO2	Production (export)	Clostridium difficile
CO2	Production (export)	Clostridium hathewayi
CO2	Production (export)	Clostridium hiranonis
CO2	Production (export)	Clostridium hylemonae
CO2	Production (export)	Clostridium kluyveri
CO2	Production (export)	Clostridium leptum
CO2	Production (export)	Clostridium ljungdahlii
CO2	Production (export)	Clostridium methylpentosum
CO2	Production (export)	Clostridium nexile
CO2	Production (export)	Clostridium novyi
CO2	Production (export)	Clostridium papyrosolvens
CO2	Production (export)	Clostridium perfringens
CO2	Production (export)	Clostridium phytofermentans
CO2	Production (export)	Clostridium saccharolyticum
CO2	Production (export)	Clostridium scindens
CO2	Production (export)	Clostridium sporogenes
CO2	Production (export)	Clostridium sticklandii
CO2	Production (export)	Clostridium symbiosum
CO2	Production (export)	Clostridium tetani
CO2	Production (export)	Clostridium thermocellum
CO2	Consumption (import) & production (export)	Colonocyte (host colon)
CO2	Production (export)	Coprococcus eutactus
CO2	Consumption (import)	Desulfobacterium autotrophicum
CO2	Consumption (import)	Desulfobulbus propionicus
CO2	Consumption (import)	Desulfovibrio aespoeensis
CO2	Consumption (import)	Desulfovibrio desulfuricans
CO2	Consumption (import)	Desulfovibrio fructosovorans
CO2	Consumption (import)	Desulfovibrio magneticus
CO2	Consumption (import)	Desulfovibrio piger
CO2	Consumption (import)	Desulfovibrio salexigens
CO2	Consumption (import) & production (export)	Desulfovibrio vulgaris
CO2	Production (export)	Desulfuromonas acetoxidans
CO2	Production (export)	Dorea formicigenerans
CO2	Production (export)	Escherichia albertii
CO2	Production (export)	Escherichia coli
CO2	Production (export)	Escherichia fergusonii
CO2	Production (export)	Eubacterium cellulosolvens
CO2	Production (export)	Eubacterium eligens
CO2	Production (export)	Eubacterium hallii
CO2	Production (export)	Eubacterium limosum
CO2	Consumption (import) & production (export)	Eubacterium rectale
CO2	Production (export)	Eubacterium saburreum
CO2	Production (export)	Eubacterium saphenum
CO2	Production (export)	Eubacterium siraeum
CO2	Production (export)	Eubacterium ventriosum
CO2	Production (export)	Faecalibacterium prausnitzii
CO2	Consumption (import) & production (export)	Fibrobacter succinogenes (Bacteroides succinogenes)
CO2	Production (export)	Geobacter metallireducens
CO2	Production (export)	Geobacter sulfurreducens
CO2	Production (export)	Helicobacter pylori
CO2	Consumption (import)	Ignicoccus hospitalis
CO2	Production (export)	Klebsiella pneumoniae
CO2	Production (export)	Klebsiella variicola
CO2	Production (export)	Lactobacillus acidophilus
CO2	Production (export)	Lactobacillus amylolyticus
CO2	Production (export)	Lactobacillus amylovorus
CO2	Production (export)	Lactobacillus antri
CO2	Production (export)	Lactobacillus brevis
CO2	Production (export)	Lactobacillus buchneri
CO2	Production (export)	Lactobacillus casei
CO2	Production (export)	Lactobacillus coleohominis
CO2	Production (export)	Lactobacillus crispatus
CO2	Production (export)	Lactobacillus delbrueckii
CO2	Production (export)	Lactobacillus fermentum
CO2	Production (export)	Lactobacillus gasseri
CO2	Production (export)	Lactobacillus helveticus
CO2	Production (export)	Lactobacillus hilgardii
CO2	Production (export)	Lactobacillus iners
CO2	Production (export)	Lactobacillus jensenii
CO2	Production (export)	Lactobacillus johnsonii
CO2	Production (export)	Lactobacillus oris
CO2	Production (export)	Lactobacillus paracasei
CO2	Production (export)	Lactobacillus plantarum
CO2	Production (export)	Lactobacillus reuteri
CO2	Production (export)	Lactobacillus rhamnosus
CO2	Production (export)	Lactobacillus ruminis
CO2	Production (export)	Lactobacillus sakei
CO2	Production (export)	Lactobacillus salivarius
CO2	Production (export)	Lactobacillus ultunensis
CO2	Production (export)	Lactobacillus vaginalis
CO2	Production (export)	Leuconostoc citreum
CO2	Production (export)	Leuconostoc gasicomitatum
CO2	Production (export)	Leuconostoc kimchii
CO2	Production (export)	Leuconostoc mesenteroides
CO2	Production (export)	Marvinbryantia formatexigens
CO2	Consumption (import)	Metallosphaera sedula
CO2	Consumption (import)	Methanobrevibacter ruminantium
CO2	Consumption (import)	Methanobrevibacter smithii
CO2	Consumption (import)	Methanocaldococcus jannaschii
CO2	Consumption (import)	Methanococcus maripaludis
CO2	Consumption (import)	Methanococcus vannielii
CO2	Consumption (import)	Methanococcus voltae
CO2	Consumption (import)	Methanopyrus kandleri
CO2	Consumption (import) & production (export)	Methanosaeta thermophila
CO2	Consumption (import) & production (export)	Methanosarcina acetivorans
CO2	Consumption (import) & production (export)	Methanosarcina barkeri
CO2	Consumption (import) & production (export)	Methanosarcina mazei
CO2	Consumption (import)	Methanosphaerula palustris
CO2	Consumption (import)	Methanospirillum hungatei
CO2	Consumption (import)	Methanothermobacter thermautotrophicus
CO2	Consumption (import)	Methanothermus fervidus
CO2	Production (export)	Methylococcus capsulatus
CO2	Production (export)	Mycoplasma agalactiae
CO2	Production (export)	Mycoplasma alligatoris
CO2	Production (export)	Mycoplasma arthritidis
CO2	Production (export)	Mycoplasma bovis
CO2	Production (export)	Mycoplasma capricolum
CO2	Production (export)	Mycoplasma conjunctivae
CO2	Production (export)	Mycoplasma crocodyli
CO2	Production (export)	Mycoplasma fermentans
CO2	Production (export)	Mycoplasma gallisepticum
CO2	Production (export)	Mycoplasma genitalium
CO2	Production (export)	Mycoplasma haemofelis
CO2	Production (export)	Mycoplasma hominis
CO2	Production (export)	Mycoplasma hyopneumoniae
CO2	Production (export)	Mycoplasma hyorhinis
CO2	Production (export)	Mycoplasma leachii
CO2	Production (export)	Mycoplasma mobile
CO2	Production (export)	Mycoplasma mycoides
CO2	Production (export)	Mycoplasma penetrans
CO2	Production (export)	Mycoplasma pneumoniae
CO2	Production (export)	Mycoplasma pulmonis
CO2	Production (export)	Mycoplasma synoviae
CO2	Production (export)	Oxalobacter formigenes
CO2	Production (export)	Parvularcula bermudensis
CO2	Consumption (import)	Pelobacter propionicus
CO2	Consumption (import) & production (export)	Pelotomaculum thermopropionicum
CO2	Production (export)	Peptostreptococcus anaerobius
CO2	Production (export)	Peptostreptococcus stomatis
CO2	Production (export)	Porphyromonas asaccharolytica
CO2	Production (export)	Propionibacterium acnes
CO2	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)
CO2	Consumption (import) & production (export)	Pseudomonas aeruginosa
CO2	Production (export)	Pyrobaculum aerophilum
CO2	Production (export)	Roseburia intestinalis
CO2	Production (export)	Ruminococcus albus
CO2	Consumption (import) & production (export)	Ruminococcus flavefaciens
CO2	Production (export)	Shewanella putrefaciens (Pseudomonas putrefaciens)
CO2	Production (export)	Streptococcus agalactiae
CO2	Production (export)	Streptococcus anginosus
CO2	Production (export)	Streptococcus australis
CO2	Production (export)	Streptococcus bovis (Streptococcus equinus)
CO2	Production (export)	Streptococcus cristatus
CO2	Production (export)	Streptococcus downei
CO2	Production (export)	Streptococcus dysgalactiae
CO2	Production (export)	Streptococcus equi
CO2	Production (export)	Streptococcus gallolyticus
CO2	Production (export)	Streptococcus gordonii
CO2	Production (export)	Streptococcus infantarius
CO2	Production (export)	Streptococcus infantis
CO2	Production (export)	Streptococcus mitis
CO2	Production (export)	Streptococcus mutans
CO2	Production (export)	Streptococcus oralis
CO2	Production (export)	Streptococcus parasanguinis
CO2	Production (export)	Streptococcus peroris
CO2	Production (export)	Streptococcus pneumoniae
CO2	Production (export)	Streptococcus pseudoporcinus
CO2	Production (export)	Streptococcus pyogenes
CO2	Production (export)	Streptococcus salivarius
CO2	Production (export)	Streptococcus sanguinis
CO2	Production (export)	Streptococcus suis
CO2	Production (export)	Streptococcus thermophilus
CO2	Production (export)	Streptococcus uberis
CO2	Production (export)	Streptococcus vestibularis
CO2	Production (export)	Sulfolobus solfataricus
CO2	Production (export)	Syntrophobacter fumaroxidans
CO2	Consumption (import) & production (export)	Syntrophomonas wolfei
CO2	Consumption (import) & production (export)	Syntrophus aciditrophicus
CO2	Production (export)	Thermoplasma acidophilum
CO2	Production (export)	Thermotoga maritima
CO2	Consumption (import)	Thiobacillus denitrificans
CO2	Production (export)	Veillonella parvula
CO2	Production (export)	Zymomonas mobilis
Crotonate (2-Butenoate, 2-Butenoic acid, Crotonic acid, 3-Methylacrylic acid)	Consumption (import)	Clostridium kluyveri
Crotonate (2-Butenoate, 2-Butenoic acid, Crotonic acid, 3-Methylacrylic acid)	Consumption (import)	Syntrophomonas wolfei
Cu2+ (Copper)	Consumption (import)	Colonocyte (host colon)
Cytidine	Consumption (import)	Colonocyte (host colon)
Cytosine	Consumption (import)	Colonocyte (host colon)
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Acidovorax avenae
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Acidovorax delafieldii
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Actinobacillus succinogenes
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Aeromonas hydrophila
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Aeromonas salmonicida
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Bacteroides ovatus
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Bacteroides thetaiotaomicron
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Bacteroides xylanisolvens
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Butyrivibrio fibrisolvens
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Butyrivibrio proteoclasticus
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Clostridium acetobutylicum
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Colonocyte (host colon)
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Coprococcus comes
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Dorea longicatena
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Eubacterium rectale
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Holdemania filiformis
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Klebsiella pneumoniae
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Marvinbryantia formatexigens
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Megamonas hypermegale
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Methylobacterium nodulans
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Odoribacter splanchnicus
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Prevotella copri
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Roseburia intestinalis
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Ruminococcus obeum
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Shigella boydii
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Sulfolobus acidocaldarius
D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	Sulfolobus solfataricus
D-Fructose (Fructose)	Consumption (import)	Acholeplasma laidlawii
D-Fructose (Fructose)	Consumption (import)	Actinobacillus succinogenes
D-Fructose (Fructose)	Consumption (import)	Anaerostipes caccae
D-Fructose (Fructose)	Consumption (import)	Anaerotruncus colihominis
D-Fructose (Fructose)	Consumption (import)	Bacteroides caccae
D-Fructose (Fructose)	Consumption (import)	Bacteroides cellulosilyticus
D-Fructose (Fructose)	Consumption (import)	Bacteroides coprocola
D-Fructose (Fructose)	Consumption (import)	Bacteroides coprophilus
D-Fructose (Fructose)	Consumption (import)	Bacteroides dorei
D-Fructose (Fructose)	Consumption (import)	Bacteroides eggerthii
D-Fructose (Fructose)	Consumption (import)	Bacteroides finegoldii (Alistipes finegoldii)
D-Fructose (Fructose)	Consumption (import)	Bacteroides fragilis
D-Fructose (Fructose)	Consumption (import)	Bacteroides helcogenes
D-Fructose (Fructose)	Consumption (import)	Bacteroides intestinalis
D-Fructose (Fructose)	Consumption (import)	Bacteroides ovatus
D-Fructose (Fructose)	Consumption (import)	Bacteroides pectinophilus
D-Fructose (Fructose)	Consumption (import)	Bacteroides plebeius
D-Fructose (Fructose)	Consumption (import)	Bacteroides salanitronis
D-Fructose (Fructose)	Consumption (import)	Bacteroides stercoris
D-Fructose (Fructose)	Consumption (import)	Bacteroides thetaiotaomicron
D-Fructose (Fructose)	Consumption (import)	Bacteroides uniformis
D-Fructose (Fructose)	Consumption (import)	Bacteroides vulgatus
D-Fructose (Fructose)	Consumption (import)	Bacteroides xylanisolvens
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium adolescentis
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium angulatum
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium animalis
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium bifidum
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium breve
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium catenulatum
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium dentium
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium gallicum
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
D-Fructose (Fructose)	Consumption (import)	Bifidobacterium pseudocatenulatum
D-Fructose (Fructose)	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
D-Fructose (Fructose)	Consumption (import)	Butyrivibrio fibrisolvens
D-Fructose (Fructose)	Consumption (import)	Butyrivibrio proteoclasticus
D-Fructose (Fructose)	Consumption (import)	Catenibacterium mitsuokai
D-Fructose (Fructose)	Consumption (import)	Clostridium difficile
D-Fructose (Fructose)	Consumption (import)	Collinsella intestinalis
D-Fructose (Fructose)	Consumption (import)	Colonocyte (host colon)
D-Fructose (Fructose)	Consumption (import)	Coprococcus catus
D-Fructose (Fructose)	Consumption (import)	Coprococcus comes
D-Fructose (Fructose)	Consumption (import)	Coprococcus eutactus
D-Fructose (Fructose)	Consumption (import)	Dorea formicigenerans
D-Fructose (Fructose)	Consumption (import)	Dorea longicatena
D-Fructose (Fructose)	Consumption (import)	Eubacterium siraeum
D-Fructose (Fructose)	Consumption (import)	Faecalibacterium prausnitzii
D-Fructose (Fructose)	Consumption (import)	Flavobacterium johnsoniae
D-Fructose (Fructose)	Consumption (import)	Holdemania filiformis
D-Fructose (Fructose)	Consumption (import)	Lactobacillus acidophilus
D-Fructose (Fructose)	Consumption (import)	Lactobacillus amylolyticus
D-Fructose (Fructose)	Consumption (import)	Lactobacillus amylovorus
D-Fructose (Fructose)	Consumption (import)	Lactobacillus antri
D-Fructose (Fructose)	Consumption (import)	Lactobacillus brevis
D-Fructose (Fructose)	Consumption (import)	Lactobacillus buchneri
D-Fructose (Fructose)	Consumption (import)	Lactobacillus casei
D-Fructose (Fructose)	Consumption (import)	Lactobacillus coleohominis
D-Fructose (Fructose)	Consumption (import)	Lactobacillus crispatus
D-Fructose (Fructose)	Consumption (import)	Lactobacillus delbrueckii
D-Fructose (Fructose)	Consumption (import)	Lactobacillus fermentum
D-Fructose (Fructose)	Consumption (import)	Lactobacillus gasseri
D-Fructose (Fructose)	Consumption (import)	Lactobacillus helveticus
D-Fructose (Fructose)	Consumption (import)	Lactobacillus hilgardii
D-Fructose (Fructose)	Consumption (import)	Lactobacillus iners
D-Fructose (Fructose)	Consumption (import)	Lactobacillus jensenii
D-Fructose (Fructose)	Consumption (import)	Lactobacillus johnsonii
D-Fructose (Fructose)	Consumption (import)	Lactobacillus oris
D-Fructose (Fructose)	Consumption (import)	Lactobacillus paracasei
D-Fructose (Fructose)	Consumption (import)	Lactobacillus plantarum
D-Fructose (Fructose)	Consumption (import)	Lactobacillus reuteri
D-Fructose (Fructose)	Consumption (import)	Lactobacillus rhamnosus
D-Fructose (Fructose)	Consumption (import)	Lactobacillus ruminis
D-Fructose (Fructose)	Consumption (import)	Lactobacillus sakei
D-Fructose (Fructose)	Consumption (import)	Lactobacillus salivarius
D-Fructose (Fructose)	Consumption (import)	Lactobacillus ultunensis
D-Fructose (Fructose)	Consumption (import)	Lactobacillus vaginalis
D-Fructose (Fructose)	Consumption (import)	Leuconostoc mesenteroides
D-Fructose (Fructose)	Consumption (import)	Marvinbryantia formatexigens
D-Fructose (Fructose)	Consumption (import)	Odoribacter splanchnicus
D-Fructose (Fructose)	Consumption (import)	Pediococcus acidilactici
D-Fructose (Fructose)	Consumption (import)	Roseburia intestinalis
D-Fructose (Fructose)	Consumption (import)	Ruminococcus bromii
D-Fructose (Fructose)	Consumption (import)	Streptococcus parasanguinis
D-Fructose (Fructose)	Consumption (import)	Streptococcus salivarius
D-Fructose (Fructose)	Consumption (import)	Streptococcus vestibularis
D-Fructose (Fructose)	Consumption (import)	Subdoligranulum variabile
D-Fructose (Fructose)	Consumption (import)	Sulfolobus solfataricus
D-Fructuronate	Consumption (import)	Escherichia coli
D-Galactosamine (Galactosamine)	Consumption (import)	Bifidobacterium animalis
D-Galactosamine (Galactosamine)	Consumption (import)	Bifidobacterium breve
D-Galactosamine (Galactosamine)	Consumption (import)	Bifidobacterium catenulatum
D-Galactosamine (Galactosamine)	Consumption (import)	Bifidobacterium dentium
D-Galactosamine (Galactosamine)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
D-Galactose	Consumption (import)	Acholeplasma laidlawii
D-Galactose	Consumption (import)	Achromobacter xylosoxidans
D-Galactose	Consumption (import)	Acidovorax avenae
D-Galactose	Consumption (import)	Acidovorax delafieldii
D-Galactose	Consumption (import)	Anaerococcus lactolyticus
D-Galactose	Consumption (import)	Anaerotruncus colihominis
D-Galactose	Consumption (import)	Bacteroides eggerthii
D-Galactose	Consumption (import)	Bacteroides ovatus
D-Galactose	Consumption (import)	Bacteroides thetaiotaomicron
D-Galactose	Consumption (import)	Bacteroides xylanisolvens
D-Galactose	Consumption (import)	Bifidobacterium adolescentis
D-Galactose	Consumption (import)	Bifidobacterium angulatum
D-Galactose	Consumption (import)	Bifidobacterium animalis
D-Galactose	Consumption (import)	Bifidobacterium bifidum
D-Galactose	Consumption (import)	Bifidobacterium breve
D-Galactose	Consumption (import)	Bifidobacterium catenulatum
D-Galactose	Consumption (import)	Bifidobacterium dentium
D-Galactose	Consumption (import)	Bifidobacterium gallicum
D-Galactose	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
D-Galactose	Consumption (import)	Bifidobacterium pseudocatenulatum
D-Galactose	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
D-Galactose	Consumption (import)	Butyrivibrio fibrisolvens
D-Galactose	Consumption (import)	Butyrivibrio proteoclasticus
D-Galactose	Consumption (import)	Catenibacterium mitsuokai
D-Galactose	Consumption (import)	Clostridium acetobutylicum
D-Galactose	Consumption (import)	Clostridium nexile
D-Galactose	Consumption (import)	Collinsella intestinalis
D-Galactose	Consumption (import)	Colonocyte (host colon)
D-Galactose	Consumption (import)	Coprococcus comes
D-Galactose	Consumption (import)	Dorea formicigenerans
D-Galactose	Consumption (import)	Dorea longicatena
D-Galactose	Consumption (import)	Escherichia coli
D-Galactose	Consumption (import)	Flavobacterium johnsoniae
D-Galactose	Consumption (import)	Marvinbryantia formatexigens
D-Galactose	Consumption (import)	Methylobacterium nodulans
D-Galactose	Consumption (import)	Odoribacter splanchnicus
D-Galactose	Consumption (import)	Picrophilus torridus
D-Galactose	Consumption (import)	Ruminococcus torques
D-Galactose	Consumption (import)	Subdoligranulum variabile
D-Galactose	Consumption (import)	Sulfolobus acidocaldarius
D-Galactose	Consumption (import)	Sulfolobus solfataricus
D-Galacturonate	Consumption (import)	Bacteroides eggerthii
D-Galacturonate	Consumption (import)	Bacteroides fragilis
D-Galacturonate	Consumption (import)	Bacteroides ovatus
D-Galacturonate	Consumption (import)	Bacteroides thetaiotaomicron
D-Galacturonate	Consumption (import)	Bacteroides vulgatus
D-Galacturonate	Consumption (import)	Butyrivibrio proteoclasticus
D-Galacturonate	Consumption (import)	Escherichia coli
D-Galacturonate	Consumption (import)	Flavobacterium johnsoniae
D-Gluconate (D-Gluconic acid) (Gluconate)	Consumption (import)	Achromobacter piechaudii
D-Gluconate (D-Gluconic acid) (Gluconate)	Consumption (import)	Escherichia coli
D-Gluconate (D-Gluconic acid) (Gluconate)	Consumption (import)	Klebsiella pneumoniae
D-Gluconate (D-Gluconic acid) (Gluconate)	Consumption (import)	Methylobacterium nodulans
D-Glucosamine (Glucosamine)	Consumption (import)	Bacteroides eggerthii
D-Glucosamine (Glucosamine)	Consumption (import)	Bacteroides fragilis
D-Glucosamine (Glucosamine)	Consumption (import)	Bacteroides ovatus
D-Glucosamine (Glucosamine)	Consumption (import)	Bacteroides thetaiotaomicron
D-Glucosamine (Glucosamine)	Consumption (import)	Bacteroides vulgatus
D-Glucosamine (Glucosamine)	Consumption (import)	Bifidobacterium animalis
D-Glucosamine (Glucosamine)	Consumption (import)	Bifidobacterium bifidum
D-Glucosamine (Glucosamine)	Consumption (import)	Bifidobacterium breve
D-Glucosamine (Glucosamine)	Consumption (import)	Bifidobacterium catenulatum
D-Glucosamine (Glucosamine)	Consumption (import)	Bifidobacterium dentium
D-Glucosamine (Glucosamine)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
D-Glucosamine (Glucosamine)	Consumption (import)	Bifidobacterium pseudocatenulatum
D-Glucosamine (Glucosamine)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
D-Glucosamine (Glucosamine)	Consumption (import)	Colonocyte (host colon)
D-Glucosamine (Glucosamine)	Consumption (import)	Dorea longicatena
D-Glucosamine (Glucosamine)	Consumption (import)	Flavobacterium johnsoniae
D-Glucose (Glucose)	Consumption (import)	Acholeplasma laidlawii
D-Glucose (Glucose)	Consumption (import)	Achromobacter xylosoxidans
D-Glucose (Glucose)	Consumption (import)	Acidiphilium cryptum
D-Glucose (Glucose)	Consumption (import)	Acidovorax avenae
D-Glucose (Glucose)	Consumption (import)	Acidovorax delafieldii
D-Glucose (Glucose)	Consumption (import)	Actinobacillus succinogenes
D-Glucose (Glucose)	Consumption (import)	Aeromonas hydrophila
D-Glucose (Glucose)	Consumption (import)	Aeropyrum pernix
D-Glucose (Glucose)	Consumption (import)	Agrobacterium tumefaciens (Rhizobium radiobacter)
D-Glucose (Glucose)	Consumption (import)	Anaerococcus hydrogenalis
D-Glucose (Glucose)	Consumption (import)	Anaerococcus lactolyticus
D-Glucose (Glucose)	Consumption (import)	Anaerococcus prevotii
